timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-05 17:13:43 UTC,2025-07-05,17:13:43,459.58,17,Saturday,1751735623
2025-07-05 17:13:47 UTC,2025-07-05,17:13:47,459.58,17,Saturday,1751735627
2025-07-05 20:02:23 UTC,2025-07-05,20:02:23,459.65,20,Saturday,1751745743
2025-07-05 20:02:25 UTC,2025-07-05,20:02:25,459.65,20,Saturday,1751745745
2025-07-05 20:05:02 UTC,2025-07-05,20:05:02,459.65,20,Saturday,1751745902
2025-07-05 20:05:03 UTC,2025-07-05,20:05:03,459.65,20,Saturday,1751745903
2025-07-05 20:36:45 UTC,2025-07-05,20:36:45,459.66,20,Saturday,1751747805
2025-07-05 20:36:46 UTC,2025-07-05,20:36:46,459.66,20,Saturday,1751747806
2025-07-05 20:52:47 UTC,2025-07-05,20:52:47,459.66,20,Saturday,1751748767
2025-07-05 20:52:48 UTC,2025-07-05,20:52:48,459.66,20,Saturday,1751748768
2025-07-05 20:55:47 UTC,2025-07-05,20:55:47,459.66,20,Saturday,1751748947
2025-07-05 20:57:16 UTC,2025-07-05,20:57:16,459.66,20,Saturday,1751749036
2025-07-05 20:58:25 UTC,2025-07-05,20:58:25,459.66,20,Saturday,1751749105
2025-07-05 20:58:50 UTC,2025-07-05,20:58:50,459.66,20,Saturday,1751749130
2025-07-05 20:58:52 UTC,2025-07-05,20:58:52,459.66,20,Saturday,1751749132
2025-07-05 20:59:32 UTC,2025-07-05,20:59:32,459.66,20,Saturday,1751749172
2025-07-05 20:59:34 UTC,2025-07-05,20:59:34,459.66,20,Saturday,1751749174
2025-07-05 22:09:14 UTC,2025-07-05,22:09:14,459.69,22,Saturday,1751753354
2025-07-05 22:09:15 UTC,2025-07-05,22:09:15,459.69,22,Saturday,1751753355
2025-07-05 22:58:15 UTC,2025-07-05,22:58:15,459.86,22,Saturday,1751756295
2025-07-05 23:14:27 UTC,2025-07-05,23:14:27,459.86,23,Saturday,1751757267
2025-07-05 23:36:18 UTC,2025-07-05,23:36:18,459.88,23,Saturday,1751758578
2025-07-05 23:48:30 UTC,2025-07-05,23:48:30,459.89,23,Saturday,1751759310
2025-07-05 23:59:40 UTC,2025-07-05,23:59:40,459.9,23,Saturday,1751759980
